event_id,STAID,BEGIN_DATE_TIME,END_DATE_TIME,peak_time,peak_flow_cfs,volume_acreft,flashiness_index,YEAR,month,day,water_year,duration_hours,time_to_peak_h,gage_lat,gage_lon,index_right,gage_flowpath-id,gage_snap_dist_m,gage_cat-id
1,02085000,2020-10-03 18:30:00+00:00,2020-10-04 03:15:00+00:00,2020-10-03 21:30:00+00:00,31.6,22.27892561983471,0.0039721946375372,2020,10,3,2021,8.75,3.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
2,02085000,2020-10-04 19:15:00+00:00,2020-10-05 00:15:00+00:00,2020-10-04 21:15:00+00:00,27.9,11.239669421487603,0.0049079754601226,2020,10,4,2021,5.0,2.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
3,02085000,2020-10-05 16:30:00+00:00,2020-10-05 22:00:00+00:00,2020-10-05 19:00:00+00:00,26.5,11.56198347107438,0.0068481424413627,2020,10,5,2021,5.5,2.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
4,02085000,2020-10-06 14:45:00+00:00,2020-10-06 22:45:00+00:00,2020-10-06 18:00:00+00:00,25.1,16.049586776859503,0.00475,2020,10,6,2021,8.0,3.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
5,02085000,2020-10-07 03:00:00+00:00,2020-10-09 12:15:00+00:00,2020-10-08 03:00:00+00:00,29.4,132.73553719008265,0.0011158811586566,2020,10,7,2021,57.25,24.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
6,02085000,2020-10-10 10:00:00+00:00,2020-10-10 17:15:00+00:00,2020-10-10 12:15:00+00:00,42.7,23.598140495867767,0.0112884060431166,2020,10,10,2021,7.25,2.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
7,02085000,2020-10-10 19:15:00+00:00,2020-10-10 23:00:00+00:00,2020-10-10 21:00:00+00:00,40.9,12.266528925619834,0.0114104595879556,2020,10,10,2021,3.75,1.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
8,02085000,2020-10-11 12:45:00+00:00,2020-10-13 14:00:00+00:00,2020-10-12 03:30:00+00:00,247.0,548.404958677686,0.0130512696248041,2020,10,11,2021,49.25,14.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
9,02085000,2020-10-14 01:00:00+00:00,2020-10-15 15:00:00+00:00,2020-10-14 05:45:00+00:00,72.7,198.5785123966942,0.0039717837860201,2020,10,14,2021,38.0,4.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
10,02085000,2020-10-16 10:30:00+00:00,2020-10-18 15:30:00+00:00,2020-10-16 22:00:00+00:00,96.9,329.63119834710744,0.0065398261043374,2020,10,16,2021,53.0,11.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
11,02085000,2020-10-19 10:30:00+00:00,2020-10-19 15:30:00+00:00,2020-10-19 12:30:00+00:00,53.7,21.805785123966945,0.0037940379403794,2020,10,19,2021,5.0,2.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
12,02085000,2020-10-20 05:30:00+00:00,2020-10-20 12:30:00+00:00,2020-10-20 08:30:00+00:00,51.6,29.068181818181817,0.0035716738787004,2020,10,20,2021,7.0,3.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
13,02085000,2020-10-22 03:15:00+00:00,2020-10-22 09:15:00+00:00,2020-10-22 05:00:00+00:00,46.5,22.77892561983471,0.0031356153645152,2020,10,22,2021,6.0,1.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
14,02085000,2020-10-22 22:00:00+00:00,2020-10-23 07:45:00+00:00,2020-10-23 01:30:00+00:00,47.5,36.62603305785124,0.003742844561867,2020,10,22,2021,9.75,3.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
15,02085000,2020-10-23 16:15:00+00:00,2020-10-24 20:30:00+00:00,2020-10-23 21:30:00+00:00,46.5,103.44628099173552,0.0030894147935439,2020,10,23,2021,28.25,5.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
16,02085000,2020-10-25 04:15:00+00:00,2020-10-25 13:30:00+00:00,2020-10-25 08:00:00+00:00,46.5,33.836776859504134,0.0045227326826945,2020,10,25,2021,9.25,3.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
17,02085000,2020-10-25 14:15:00+00:00,2020-10-26 00:15:00+00:00,2020-10-25 17:30:00+00:00,44.6,35.86776859504132,0.0051723168606285,2020,10,25,2021,10.0,3.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
18,02085000,2020-10-27 19:00:00+00:00,2020-10-28 00:45:00+00:00,2020-10-27 22:00:00+00:00,29.4,13.40392561983471,0.0075488454706927,2020,10,27,2021,5.75,3.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
19,02085000,2020-10-29 14:30:00+00:00,2020-10-29 22:15:00+00:00,2020-10-29 17:30:00+00:00,24.5,13.530991735537189,0.0172209026128266,2020,10,29,2021,7.75,3.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
20,02085000,2020-10-30 03:15:00+00:00,2020-11-01 04:30:00+00:00,2020-10-30 15:15:00+00:00,106.0,222.4721074380165,0.0149022876725016,2020,10,30,2021,49.25,12.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
21,02085000,2020-11-01 14:00:00+00:00,2020-11-03 15:15:00+00:00,2020-11-02 00:30:00+00:00,183.0,326.8873966942149,0.0189612011072786,2020,11,1,2021,49.25,10.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
22,02085000,2020-11-04 14:45:00+00:00,2020-11-04 18:15:00+00:00,2020-11-04 16:30:00+00:00,33.2,9.429752066115702,0.0049140049140049,2020,11,4,2021,3.5,1.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
23,02085000,2020-11-05 05:45:00+00:00,2020-11-05 12:00:00+00:00,2020-11-05 08:30:00+00:00,30.1,14.956611570247931,0.00585262037776,2020,11,5,2021,6.25,2.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
24,02085000,2020-11-05 17:30:00+00:00,2020-11-05 22:15:00+00:00,2020-11-05 19:00:00+00:00,27.2,10.49690082644628,0.0039311119430924,2020,11,5,2021,4.75,1.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
25,02085000,2020-11-06 11:45:00+00:00,2020-11-06 20:00:00+00:00,2020-11-06 14:30:00+00:00,27.2,18.010330578512395,0.0046833184656556,2020,11,6,2021,8.25,2.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
26,02085000,2020-11-07 02:00:00+00:00,2020-11-07 17:15:00+00:00,2020-11-07 11:15:00+00:00,27.9,32.50929752066116,0.003941934676511,2020,11,7,2021,15.25,9.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
27,02085000,2020-11-07 23:00:00+00:00,2020-11-08 04:00:00+00:00,2020-11-08 00:30:00+00:00,24.4,9.793388429752063,0.0064412238325281,2020,11,7,2021,5.0,1.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
28,02085000,2020-11-08 12:45:00+00:00,2020-11-08 21:30:00+00:00,2020-11-08 15:45:00+00:00,25.1,17.452479338842974,0.0046093569946992,2020,11,8,2021,8.75,3.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
29,02085000,2020-11-09 13:30:00+00:00,2020-11-09 20:45:00+00:00,2020-11-09 15:15:00+00:00,23.1,13.607438016528926,0.0038212815990593,2020,11,9,2021,7.25,1.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
30,02085000,2020-11-10 12:45:00+00:00,2020-11-10 20:45:00+00:00,2020-11-10 17:00:00+00:00,23.1,14.520661157024794,0.0060798673483487,2020,11,10,2021,8.0,4.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
31,02085000,2020-11-12 02:15:00+00:00,2020-11-14 03:45:00+00:00,2020-11-12 23:30:00+00:00,2310.0,3443.367768595041,0.0280663910360117,2020,11,12,2021,49.5,21.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
32,02085000,2020-11-17 11:45:00+00:00,2020-11-17 15:15:00+00:00,2020-11-17 13:00:00+00:00,67.1,19.260330578512395,0.0024045686804929,2020,11,17,2021,3.5,1.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
33,02085000,2020-11-18 15:00:00+00:00,2020-11-18 19:00:00+00:00,2020-11-18 17:45:00+00:00,55.4,17.979338842975206,0.0045479155387114,2020,11,18,2021,4.0,2.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
34,02085000,2020-11-19 04:30:00+00:00,2020-11-19 09:45:00+00:00,2020-11-19 07:00:00+00:00,53.3,22.574380165289256,0.0048985304408677,2020,11,19,2021,5.25,2.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
35,02085000,2020-11-19 21:30:00+00:00,2020-11-20 07:45:00+00:00,2020-11-20 00:45:00+00:00,51.1,41.69731404958677,0.0039221382916908,2020,11,19,2021,10.25,3.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
36,02085000,2020-11-20 23:45:00+00:00,2020-11-21 11:15:00+00:00,2020-11-21 06:00:00+00:00,47.0,43.81818181818181,0.0017544669652338,2020,11,20,2021,11.5,6.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
37,02085000,2020-11-21 19:00:00+00:00,2020-11-22 20:30:00+00:00,2020-11-22 14:15:00+00:00,48.0,97.0909090909091,0.0029093668964644,2020,11,21,2021,25.5,19.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
38,02085000,2020-11-23 04:15:00+00:00,2020-11-23 18:15:00+00:00,2020-11-23 13:45:00+00:00,47.9,52.571280991735534,0.0033616692426584,2020,11,23,2021,14.0,9.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
39,02085000,2020-11-24 00:15:00+00:00,2020-11-24 07:15:00+00:00,2020-11-24 02:30:00+00:00,44.0,24.9400826446281,0.0030419468459814,2020,11,24,2021,7.0,2.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
40,02085000,2020-11-24 11:15:00+00:00,2020-11-24 17:15:00+00:00,2020-11-24 13:15:00+00:00,43.1,20.982438016528924,0.0044494935150998,2020,11,24,2021,6.0,2.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
41,02085000,2020-11-24 22:45:00+00:00,2020-11-25 09:15:00+00:00,2020-11-24 23:30:00+00:00,39.4,34.106404958677686,0.0026631946499378,2020,11,24,2021,10.5,0.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
42,02085000,2020-11-25 13:15:00+00:00,2020-11-25 20:45:00+00:00,2020-11-25 16:45:00+00:00,41.2,24.607438016528924,0.0043920292801952,2020,11,25,2021,7.5,3.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
43,02085000,2020-11-26 12:00:00+00:00,2020-11-28 13:15:00+00:00,2020-11-26 14:45:00+00:00,57.4,190.71074380165288,0.0054360135900339,2020,11,26,2021,49.25,2.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
44,02085000,2020-11-28 14:15:00+00:00,2020-11-28 21:45:00+00:00,2020-11-28 17:45:00+00:00,44.8,26.90289256198347,0.0041663566698906,2020,11,28,2021,7.5,3.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
