STAID,STATID,DRAIN_SQKM,LAT_GAGE,LNG_GAGE
01016500,1016500,847.8,46.628311,-68.434792
01017060,1017060,14.9,46.783611,-67.989167
01017290,1017290,594.6,46.88861,-67.945
01017550,1017550,10.0,46.628056,-67.953056
01017960,1017960,226.3,46.105,-67.881389
01018000,1018000,450.5,46.104917,-67.866631
01018009,1018009,19.5,46.11528,-67.84028
01019000,1019000,620.6,45.172522,-67.7688
01021200,1021200,242.8,44.901489,-67.247619
01021470,1021470,16.1,44.800833,-67.725
01021480,1021480,76.7,44.936944,-67.736111
01022260,1022260,162.0,44.697778,-67.787222
01022330,1022330,264.8,44.740833,-68.013333
01022500,1022500,573.6,44.607972,-67.935242
01023000,1023000,385.1,44.840239,-68.372017
01027200,1027200,582.0,45.935278,-69.993611
01029200,1029200,444.9,46.143056,-68.633611
01031300,1031300,304.4,45.267222,-69.583889
01031450,1031450,239.1,45.184444,-69.452222
01031500,1031500,769.0,45.175008,-69.314697
01031510,1031510,70.1,45.150278,-69.236389
01033000,1033000,844.4,45.270256,-69.111733
01033500,1033500,834.0,45.282578,-69.003439
01035000,1035000,779.4,45.183936,-68.474425
01036500,1036500,391.5,44.897144,-68.883683
01037380,1037380,39.0,44.329167,-69.060833
01038000,1038000,375.1,44.222778,-69.593758
01044550,1044550,499.8,45.313611,-70.241667
01046000,1046000,243.2,45.065186,-69.880767
01047000,1047000,909.1,44.8692,-69.955103
01047200,1047200,65.6,44.857778,-70.485278
01048220,1048220,49.4,44.9475,-69.656944
01049500,1049500,561.3,44.229097,-69.778047
01052500,1052500,383.8,44.877394,-71.057494
01054200,1054200,181.0,44.390444,-70.979644
01054300,1054300,337.7,44.593242,-70.733017
01055000,1055000,250.6,44.642747,-70.588783
01055500,1055500,439.5,44.269506,-70.229606
01057000,1057000,190.9,44.303992,-70.539681
01058500,1058500,851.4,44.063872,-70.274069
01059800,1059800,35.3,43.917894,-70.316597
01060000,1060000,364.8,43.79915,-70.178269
01064300,1064300,27.4,44.218956,-71.24924
01064400,1064400,12.2,44.070347,-71.172849
01064500,1064500,993.7,43.990842,-71.090478
01064801,1064801,173.4,43.830074,-71.287849
01065000,1065000,855.3,43.795075,-71.059234
01066500,1066500,423.9,43.689436,-70.670556
01067950,1067950,71.5,43.43222,-70.55333
01068910,1068910,117.4,43.41833,-70.73806
01069500,1069500,264.5,43.418342,-70.658317
01069700,1069700,27.9,43.37917,-70.58333
01072500,1072500,359.8,43.328108,-70.927139
01072800,1072800,244.0,43.268415,-70.973674
01072870,1072870,192.0,43.2348,-70.95645
01073000,1073000,31.3,43.148696,-70.96506
01073319,1073319,144.4,43.042307,-71.200618
01073500,1073500,471.1,43.102586,-70.952559
01073587,1073587,163.1,42.984532,-71.038392
01073600,1073600,16.4,42.993143,-71.021725
01073785,1073785,36.9,43.036755,-70.84811
01074520,1074520,297.2,44.047567,-71.659803
01075000,1075000,504.3,43.976179,-71.679524
01075800,1075800,7.7,43.836181,-71.885361
01076000,1076000,369.8,43.795626,-71.845359
01077000,1077000,150.3,43.705351,-71.629799
01077400,1077400,56.2,43.70389,-71.83333
01078000,1078000,222.5,43.566463,-71.747857
01082000,1082000,175.0,42.862584,-71.959246
01083000,1083000,116.9,42.892861,-71.986747
01084000,1084000,140.1,43.081746,-71.978415
01084500,1084500,143.8,43.114246,-71.926192
01085000,1085000,950.1,43.152024,-71.857301
01085800,1085800,14.8,43.259243,-72.025917
01086000,1086000,381.6,43.251189,-71.7323
01087000,1087000,331.9,43.297578,-71.693688
01089000,1089000,201.1,43.238692,-71.462015
01089100,1089100,214.1,43.213692,-71.480348
01089500,1089500,400.8,43.256748,-71.369513
01090800,1090800,163.1,43.091471,-71.659518
01091000,1091000,266.8,43.014805,-71.641461
01091500,1091500,519.1,43.01675,-71.550625
01093000,1093000,77.7,43.005918,-71.348676
01093800,1093800,9.4,42.860085,-71.832854
01093852,1093852,263.7,42.84259,-71.70674
01094000,1094000,440.5,42.857586,-71.506179
01094400,1094400,166.2,42.576201,-71.788129
01094500,1094500,279.7,42.501758,-71.722571
01095220,1095220,78.7,42.410925,-71.791183
01095375,1095375,115.2,42.37287,-71.828128
01095505,1095505,322.7,42.429167,-71.680278
01096000,1096000,173.1,42.634256,-71.657848
01096503,1096503,155.8,42.672034,-71.577013
01096835,1096835,154.2,42.38528,-71.57778
01096840,1096840,163.6,42.39,-71.56972
01096885,1096885,224.5,42.41167,-71.50806
01097000,1097000,299.3,42.432038,-71.449785
01097300,1097300,30.9,42.512593,-71.404228
01097380,1097380,120.4,42.45889,-71.39722
01097480,1097480,90.8,42.2601,-71.45645
01098530,1098530,274.2,42.325373,-71.397561
01100505,1100505,42.9,42.849255,-71.215061
01100561,1100561,158.3,42.743146,-71.208393
01100600,1100600,96.4,42.568149,-71.214779
01100627,1100627,173.1,42.671481,-71.149224
01101000,1101000,55.5,42.752869,-70.94561
01101344,1101344,58.1,42.56111,-71.11111
01101500,1101500,115.3,42.569539,-71.026998
01102000,1102000,316.4,42.659816,-70.893662
01102345,1102345,60.4,42.46954,-71.006995
01102500,1102500,59.7,42.447318,-71.138943
01103025,1103025,21.5,42.407041,-71.133942
01103220,1103220,3.0,42.04093,-71.42673
01103280,1103280,169.1,42.13982,-71.389503
01103455,1103455,9.7,42.25399,-71.29339
01103500,1103500,473.3,42.256209,-71.260056
01104200,1104200,548.4,42.316486,-71.227833
01104430,1104430,17.5,42.398151,-71.27339
01104460,1104460,57.1,42.368985,-71.270612
01104475,1104475,2.1,42.354541,-71.268112
01104500,1104500,647.4,42.372319,-71.233667
01105000,1105000,84.9,42.177599,-71.200886
01105500,1105500,60.7,42.154544,-71.145884
01105554,1105554,220.7,42.209266,-71.145885
01105583,1105583,73.6,42.220933,-70.978103
01105585,1105585,11.1,42.247877,-70.99727
01105600,1105600,12.7,42.190378,-70.944768
01105638,1105638,39.2,42.23482,-70.87199
01105730,1105730,79.6,42.100657,-70.822541
01105870,1105870,55.1,41.990936,-70.733649
01105876,1105876,34.9,41.94177,-70.622534
01105880,1105880,25.5,41.700111,-70.106963
01105917,1105917,61.3,41.662604,-70.83837
01105933,1105933,68.1,41.585382,-70.990317
01106000,1106000,22.1,41.558437,-71.12921
01106500,1106500,104.5,42.01538,-70.96115
01108000,1108000,677.6,41.93399,-70.956431
01108320,1108320,57.9,41.97732,-71.14394
01108410,1108410,122.0,41.899823,-71.08949
01108500,1108500,51.8,42.000099,-71.260053
01109000,1109000,112.7,41.9476,-71.176716
01109060,1109060,220.1,41.866212,-71.122824
01109070,1109070,27.2,41.840379,-71.142824
01109090,1109090,12.8,41.77677,-71.08921
01109220,1109220,78.9,41.80927,-71.27783
01109403,1109403,137.6,41.830934,-71.351165
01109500,1109500,82.2,42.232038,-71.834794
01109730,1109730,185.8,42.188984,-71.76507
01110000,1110000,66.1,42.230372,-71.710902
01110500,1110500,363.5,42.153707,-71.652011
01111050,1111050,145.4,42.0751,-71.62479
